number,mergedAt,title,summary,url
2035,2025-12-16T21:07:13Z,Added an initial implementation of Q and KV Cache in fp8 and to use t…,cudnn implementation for sdpa fp8 📌 Description Allows cudnn SDPA be called when q and kv are both fp8 Requires cudnn 9.18.0,https://github.com/flashinfer-ai/flashinfer/pull/2035
2212,2025-12-16T04:02:38Z,cicd: Add sanity test script,This PR adds a sanity test script to use towards testing more CTK versions.,https://github.com/flashinfer-ai/flashinfer/pull/2212
2102,2025-12-15T04:06:19Z,Port TRT-LLM communication kernels to flashinfer,This ports the latest MNNVL A2A communication implementation from TRT-LLM,https://github.com/flashinfer-ai/flashinfer/pull/2102
2109,2025-12-12T21:21:17Z,feat: support more head dim in RoPE kernel,"With the new changes we should be able to support arbitrary head dim using the RopeQuantizeKernel, and I have routed the BatchQKApplyRotary…",https://github.com/flashinfer-ai/flashinfer/pull/2109
2118,2025-12-12T19:28:03Z,Refactor trtllm_mnnvl_allreduce,This PR porting all changes in TensorRT-LLM#8018 into Flashinfer.,https://github.com/flashinfer-ai/flashinfer/pull/2118
2119,2025-12-12T07:59:14Z,perf: bunch of features and optimizations for top-k (sampling + sparse attention),"This PR implements several features and optimizations for top-k: Multi-CTA optimization Followup of #2044 , this PR optimizes the top-k/top…",https://github.com/flashinfer-ai/flashinfer/pull/2119
2194,2025-12-11T20:02:23Z,Permute page table in benchmarking,This PR will permute page tables during benchmarking of different backends and ensure the correct page table gets passed to the backends.,https://github.com/flashinfer-ai/flashinfer/pull/2194
2196,2025-12-11T07:33:28Z,docs: Fix inaccurate API docstrings for attention prefill,This PR addresses the documentation issues and adds proper validation for unsupported configurations in the attention prefill wrappers rais…,https://github.com/flashinfer-ai/flashinfer/pull/2196
2189,2025-12-09T05:16:51Z,test: Skip sm90 test in test_jit_warmup.py if not on sm90,test_jit_warmup.py contains two tests test_warmpup_llama and test_warmpup_llama_sm90 where the _sm90 variant is the first one plus an addit…,https://github.com/flashinfer-ai/flashinfer/pull/2189
2165,2025-12-06T10:55:20Z,Add data type check for deepseek fp4 moe,It's so important to have dtype check to ensure API callers use FlashInfer correctly.,https://github.com/flashinfer-ai/flashinfer/pull/2165
2111,2025-12-06T03:31:41Z,refactor: update fa3 codebase and fix hopper unittest [part 1],"This PR refactors the out-dated fa3 codebase, more specifically, for page_size>1, the page offset calculation is performed inside the kerne…",https://github.com/flashinfer-ai/flashinfer/pull/2111
2171,2025-12-05T10:53:58Z,Fix gemm allreduce two shot,Fix test_cute_dsl_gemm_allreduce_two_shot.py regression from nvidia-cutlass-dsl upgrade to 4.3.1 (removed helper functions) GB300 enabled f…,https://github.com/flashinfer-ai/flashinfer/pull/2171
2163,2025-12-05T10:53:16Z,refactor: Move mla code from decode.py to mla.py and add to documentation,trtllm_batch_decode_with_kv_cache_mla and xqa_batch_decode_with_kv_cache_mla currently reside in decode.py.,https://github.com/flashinfer-ai/flashinfer/pull/2163
2159,2025-12-05T10:52:17Z,feat: MxInt4 x Bf16 TRT-LLM Gen MoE support,Add the MxInt4 x BF16 TRTLLM GEN moe,https://github.com/flashinfer-ai/flashinfer/pull/2159
2175,2025-12-05T08:19:44Z,fix: compile flags for trtllm fmha_v2 ,fix: compile flags for trtllm fmha_v2,https://github.com/flashinfer-ai/flashinfer/pull/2175
2149,2025-12-04T17:56:43Z,enable sm103 moe dsl backend,enable sm103 moe dsl backend bumped dep version nvidia-cutlass-dsl>=4.3.1,https://github.com/flashinfer-ai/flashinfer/pull/2149
2172,2025-12-04T17:56:20Z,Update Docker CI tags to 20251203-1e15fed,This PR updates the Docker CI image tags to the latest version: 20251203-1e15fed Updated images: flashinfer/flashinfer-ci-cu126:20251203-1e…,https://github.com/flashinfer-ai/flashinfer/pull/2172
2157,2025-12-04T01:36:30Z,fix xqa mha_sm90.cu,This PR fixes 2 things: 1 CUDA_ARCH is not defined in host code so xqa_wrapper.cu should use another macro 2 spec_q_seq_len is not included…,https://github.com/flashinfer-ai/flashinfer/pull/2157
2160,2025-12-03T05:01:41Z,feat: C++ side tensor validation,Originally in this PR #1652 and #2127 we added better error messaging / prevent silent failures for wrong dtype / shape of tensors.,https://github.com/flashinfer-ai/flashinfer/pull/2160
2153,2025-12-02T22:20:40Z,misc: Label APIs for Logging,"FlashInfer's API Logging feature was enabled in #2108, but only decorated a small number of APIs with @flashinfer_api.",https://github.com/flashinfer-ai/flashinfer/pull/2153
2155,2025-12-02T08:28:42Z,Bump tvm ffi version to 0.1.4,Bump tvm ffi version to 0.1.4 and use ffi::CUDADeviceGuard instead of cudaSetDevice.,https://github.com/flashinfer-ai/flashinfer/pull/2155
2142,2025-11-28T07:35:15Z,feat: TRTLLM FMHAv2 backend for ctx attention,Porting over the trtllm fmhav2 library to support prefill cases.,https://github.com/flashinfer-ai/flashinfer/pull/2142
2089,2025-11-28T02:14:35Z,ci: Reduce test time by moving compilation off-line,Download flashinfer-cubin and flashinfer-jit-cache to avoid compilation.,https://github.com/flashinfer-ai/flashinfer/pull/2089
2132,2025-11-26T00:32:21Z,feat: add seed offset args to sampler to allow cuda graph support,This PR adds optional seed/offset args to all the sampler functions to prevent calling the get_seed_and_offset function.,https://github.com/flashinfer-ai/flashinfer/pull/2132
2138,2025-11-25T19:07:11Z,feat: add trtllm-gen per-tensor sparseMla kernels.,This MR adds trtllm-gen per-tensor sparseMla kernels.,https://github.com/flashinfer-ai/flashinfer/pull/2138
2134,2025-11-25T19:05:32Z,fix(trtllm): reset negative strideBatch to 0 for ragged KV layout to …,Fix TMA descriptor failures for ragged KV layouts in the TRT-LLM FMHA path.,https://github.com/flashinfer-ai/flashinfer/pull/2134
2137,2025-11-25T19:05:16Z,fix: some bugs of headDim 256 trtllm-gen fmha kernels. ,This MR updates the trtllm-gen cubins which fix several bugs of headDim 256 fmha kernels.,https://github.com/flashinfer-ai/flashinfer/pull/2137
2126,2025-11-25T01:03:11Z,fix flaky xqa test,WIP.,https://github.com/flashinfer-ai/flashinfer/pull/2126
2128,2025-11-22T16:37:16Z,fix: DeepSeek activation uninitialized data,fix: DeepSeek activation uninitialized data,https://github.com/flashinfer-ai/flashinfer/pull/2128
2105,2025-11-22T07:54:29Z,enable xqa speculative decoding,Enable xqa with speculative decoding and add mask tensor in trtllm_batch_decode_with_kv_cache.,https://github.com/flashinfer-ai/flashinfer/pull/2105
2127,2025-11-22T07:26:02Z,fix: add a check for int32 indices in sampling.py,"New function to validate that the indices type, when provided, is int32.",https://github.com/flashinfer-ai/flashinfer/pull/2127
2108,2025-11-22T07:24:14Z,feat: Enable API Logging for Better Debugging POC,tl; dr: Current PR adds a logging system for input/output tracking to aid debugging FlashInfer APIs via a @flashinfer_api decorator.,https://github.com/flashinfer-ai/flashinfer/pull/2108
1979,2025-11-21T05:27:52Z,feat: Add backend='auto' to mm_fp4 and enable autotune for backend='cudnn',Current PR: Introduces an auto backend to mm_fp4 that can be autotuned.,https://github.com/flashinfer-ai/flashinfer/pull/1979
2112,2025-11-20T07:16:13Z,hotfix: add 9.0a to README and installation doc,"9.0a was removed from installation documentation by accident, in some recent PRs.",https://github.com/flashinfer-ai/flashinfer/pull/2112
2110,2025-11-20T06:36:45Z,add tensor scale input for xqa,add tensor scale input for xqa,https://github.com/flashinfer-ai/flashinfer/pull/2110
2117,2025-11-20T06:34:29Z,update xqa license,Update xqa license based on NVIDIA/TensorRT-LLM#8807,https://github.com/flashinfer-ai/flashinfer/pull/2117
2114,2025-11-20T02:47:57Z,feature: make the LSE returned by MLA support base 2 or e  #2113,This pr adds a parameter return_lse_base_on_e to control the base of LSE returned by MLA.,https://github.com/flashinfer-ai/flashinfer/pull/2114
2099,2025-11-19T10:33:24Z,[DSV3] Optimized routing kernels dsv3,[DSV3] Optimized routing kernels dsv3,https://github.com/flashinfer-ai/flashinfer/pull/2099
2103,2025-11-19T05:10:28Z,test: Enable testing for trtllm-gen decode bs1,"In #1898, it was raised that trtllm-gen's attention kernels fail for batch size 1.",https://github.com/flashinfer-ai/flashinfer/pull/2103
2100,2025-11-19T02:17:00Z,[DSR1] Added MLA test,"Added DSR1 MLA test, and split up the trtllm_batch_decode_mla function.",https://github.com/flashinfer-ai/flashinfer/pull/2100
2084,2025-11-18T07:53:29Z,[API change] Allow using torch.Tensor for scales for trtllm-gen attention,"change bmm1_scale and bmm2_scale to Union[float, torch.Tensor].",https://github.com/flashinfer-ai/flashinfer/pull/2084
2037,2025-11-18T07:15:14Z,"feat: Add flashinfer.rope.rope_quantize_fp8_append_paged_kv_cache (fused RoPE + Q + KV cache, supports MLA/GQA/MHA) ","Add flashinfer.rope.rope_quantize_fp8_append_paged_kv_cache, which runs a fused RoPE + Quantization (16 -> 8) + append KV Cache operation k…",https://github.com/flashinfer-ai/flashinfer/pull/2037
2088,2025-11-16T06:01:17Z,refactor: update dpsk fused_moe test [1],Refactor fused_moe test.,https://github.com/flashinfer-ai/flashinfer/pull/2088
2092,2025-11-14T21:43:40Z,perf: TRT-LLM Gen finalize kernel optimization,"Small optimization for TRT-LLM Gen MoE finalize kernel TopK=8, NumExperts=128, HiddenSize=4096 BS Baseline, us Optimized, us Speed-up",https://github.com/flashinfer-ai/flashinfer/pull/2092
2079,2025-11-14T03:55:35Z,[Feature] Support batch prefill for POD Attention,Co-authored-by: @Edenzzzz 📌 Description Fixes #1022.,https://github.com/flashinfer-ai/flashinfer/pull/2079
2028,2025-11-13T09:54:43Z,[NVIDIA] Thor & Spark Support,Thor and Spark support when wheels are generating,https://github.com/flashinfer-ai/flashinfer/pull/2028
2083,2025-11-13T04:17:10Z,test: Change incorrect inputs in test_hopper.py,Brings in some changes to test_hopper.py to pass more unit tests test_deepseek_prefill --> Raise tolerance for bf16 inputs Others: The toke…,https://github.com/flashinfer-ai/flashinfer/pull/2083
2080,2025-11-12T14:25:58Z,chore: update requires-python in pyproject.toml,When installing I ran into this error: × No solution found when resolving dependencies for split (markers: python_full_version == '3.9.*'):…,https://github.com/flashinfer-ai/flashinfer/pull/2080
2081,2025-11-12T14:25:18Z,enable xqa fp8 output,"This PR enables xqa to output fp8 tensors, and also adds an o_scale in args in interfaces in decode.py.",https://github.com/flashinfer-ai/flashinfer/pull/2081
2076,2025-11-12T05:29:05Z,fix: fix test_trtllm_gen_attention when max_seq_len < page_size,fix: fix test_trtllm_gen_attention when max_seq_len < page_size,https://github.com/flashinfer-ai/flashinfer/pull/2076
2069,2025-11-12T03:40:04Z,minor: canonicalize TFLOPS calculation ,minor: canonicalize TFLOPS calculation,https://github.com/flashinfer-ai/flashinfer/pull/2069
2075,2025-11-11T15:55:13Z,unittest: improve the efficiency of xqa unittests,The implementation of xqa unittests are sub-optimal: we use lots of cpu index calculation and slicing operations.,https://github.com/flashinfer-ai/flashinfer/pull/2075
2053,2025-11-10T15:07:31Z,feat: add xqa mla backend,add xqa mla backend and corresponding unittests,https://github.com/flashinfer-ai/flashinfer/pull/2053
2064,2025-11-09T23:14:06Z,refactor: remove MetaInfoHash class,"This class is not required after @jimmyzho 's refactor work in https://github.com/flashinfer-ai/flashinfer/pull/1967/files, and the only re…",https://github.com/flashinfer-ai/flashinfer/pull/2064
2062,2025-11-09T00:34:35Z,Fix: several bugs/issues with trtllm-gen attention kernels. ,This MR fixes: unspecified cuda launch errors with 2CTA MLA kernels masking bug of SWA decode kernels.,https://github.com/flashinfer-ai/flashinfer/pull/2062
2063,2025-11-08T06:14:05Z,perf: TRT-LLM MoE Block-FP8 activation optimization,Small optimization to the activation kernel for block-FP8 MoE for large batch size.,https://github.com/flashinfer-ai/flashinfer/pull/2063
2019,2025-11-07T22:52:59Z,[DSV3] Optimized Router Gemm,This PR: adds an optimized router gemm for problem sizes such as Deep Seek-V3.,https://github.com/flashinfer-ai/flashinfer/pull/2019
2058,2025-11-07T19:50:59Z,perf: Optimize helper max/minmax function in sampling.cuh,Apply optimizations similar to #2044 to max/min functions.,https://github.com/flashinfer-ai/flashinfer/pull/2058
2029,2025-11-07T17:17:57Z,"feat: suitable_auto_backends to prune auto backends, bmm_fp8 refactor, heuristic_func intake","feat: suitable_auto_backends to prune auto backends, bmm_fp8 refactor, heuristic_func intake",https://github.com/flashinfer-ai/flashinfer/pull/2029
2055,2025-11-07T07:07:02Z,misc: Add XQA decode to microbenchmark for sm90 and sm120,"In #2001 , XQA decode kernels became available through trtllm_batch_decode_with_kv_cache on SM90 and SM120.",https://github.com/flashinfer-ai/flashinfer/pull/2055
2044,2025-11-07T00:58:30Z,perf: improve sampling/mask/softmax performance (part 1/2),"This is the first part of the performance improvement PR for sampling/mask/softmax operator, in this PR, we defer the cross thread reductio…",https://github.com/flashinfer-ai/flashinfer/pull/2044
2049,2025-11-06T21:33:34Z,[BUG] Fix trtllm-gen fp4 moe renormalize routing,Temporarily disable routingIndicesBlockKernel as it's not compatible with the current packing format (topk-id and expert weights are packed…,https://github.com/flashinfer-ai/flashinfer/pull/2049
1984,2025-11-06T07:29:17Z,chore: Update CODEOWNERS,Summary This PR updates the CODEOWNERS file based on git commit history analysis from the last 180 days.,https://github.com/flashinfer-ai/flashinfer/pull/1984
1955,2025-11-06T06:06:31Z,Update trtllm-gen fused moe routing kernel and add more kernels,"co-work with @IwakuraRein update the trtllm-gen fused moe headers add new kernels for trtllm-gen fused moe for NvFp4, add tile 256 for MxFp…",https://github.com/flashinfer-ai/flashinfer/pull/1955
2033,2025-11-05T06:26:02Z,use scalar for kv_scale in xqa,use scalar for kv_scale in xqa,https://github.com/flashinfer-ai/flashinfer/pull/2033
2015,2025-11-05T06:08:19Z,Support cc common check decorator for empty backends,Support cc common check decorator for empty backends,https://github.com/flashinfer-ai/flashinfer/pull/2015
2038,2025-11-04T22:48:01Z,test: Mark test_fp8_prefill.py as xfail on SM90,"test_fp8_prefill.py is currently failing on SM90, but consumes too much time to run/fail, causing unit-tests to time out.",https://github.com/flashinfer-ai/flashinfer/pull/2038
2018,2025-11-02T06:31:36Z,test: Enable xfailed trtllm decode long seqlen tests and update microbenchmark,tests/attention/test_trtllm_gen_attention.py was failing and therefore marked xfail.,https://github.com/flashinfer-ai/flashinfer/pull/2018
2001,2025-11-02T01:06:42Z,feat: add xqa backend and completes NHD/HND coverage for trtllm-gen/xqa backend,"Expose xqa backend to trtllm attention interface, and improve layout coverage of trtllm-gen and xqa backends.",https://github.com/flashinfer-ai/flashinfer/pull/2001
2013,2025-10-31T06:48:56Z,More realistic bench for POD Attn,"Use real head sizes, seq lens and add comparison with sequential prefill + decode.",https://github.com/flashinfer-ai/flashinfer/pull/2013
2002,2025-10-29T21:45:00Z,Fix trtllm-gen attention illegal memory access,This PR fixes illegal memory access of trtllm-gen attention kernels.,https://github.com/flashinfer-ai/flashinfer/pull/2002
1980,2025-10-29T06:47:25Z,feat: autotune tile_tokens_dim in trtllm-gen MOE,Update the autotune logic in trtllm-gen moe.,https://github.com/flashinfer-ai/flashinfer/pull/1980
1999,2025-10-29T06:10:26Z,unittest: Add head dim 256 test cases and mark as xfail,Adding unit test for head_dim=256 cases for trtllm-gen decode and marking them as xfail.,https://github.com/flashinfer-ai/flashinfer/pull/1999
1973,2025-10-29T00:36:49Z,Feature: Add support for L40 FusedMoE in cutlass path,"Fixed a few compilation issues for L40, and removed 1 gemm tactic for sm == 89 that crashes due to: Assertion failed: GPU lacks the shared…",https://github.com/flashinfer-ai/flashinfer/pull/1973
1994,2025-10-28T23:48:03Z,minor fix for xqa,1 change xqa_mla comments to be consistent with mla instead of mha.,https://github.com/flashinfer-ai/flashinfer/pull/1994
1991,2025-10-28T21:56:14Z,Added workspace check and reflected this in test,"This PR attempts to fix #1986 (to be confirmed by requester) The issue is that num_tokens was larger than MAX_TOKEN_NUM, which results in a…",https://github.com/flashinfer-ai/flashinfer/pull/1991
1998,2025-10-28T21:20:44Z,unittest: Add SM arch checks to skip unsupported tests on Hopper,"A number of unit tests fail on Hopper because they either do not have a support-check or fail based on ""what is not supported"" while missin…",https://github.com/flashinfer-ai/flashinfer/pull/1998
1952,2025-10-28T04:44:39Z,unittest: fix failed unittest on hopper,Some invalid configuration are generated in JIT warmup (mixed precision) function gen_prefill_attention_modules.,https://github.com/flashinfer-ai/flashinfer/pull/1952
1769,2025-10-27T22:56:29Z,feat: add xqa fp8 mha and fp8 kv cache,Add xqa fp8 mha and fp8 kv cache.,https://github.com/flashinfer-ai/flashinfer/pull/1769
1982,2025-10-26T17:22:39Z,fix: correct PDL parameter handling in RopeQuantize kernel,1.,https://github.com/flashinfer-ai/flashinfer/pull/1982
1969,2025-10-26T06:26:37Z,feat: enable deepgemm jit for fp8 block-scale on SM90,"Enable JIT compile for the FP8 DeepGEMM kernels, NVRTC is currently disabled it uses NVCC by default.",https://github.com/flashinfer-ai/flashinfer/pull/1969
1978,2025-10-24T23:30:44Z,fix: Skipping attention sink Blackwell test outside of Blackwell,test_attention_sink_blackwell.py checks flashinfer.prefill.trtllm_batch_context_with_kv_cache and flashinfer.decode.trtllm_batch_decode_wit…,https://github.com/flashinfer-ai/flashinfer/pull/1978
1976,2025-10-24T20:03:08Z,fix: Make attention microbenchmark correctly use page table,Current microbenchmark code does not provides instantiated block_tables to all backends.,https://github.com/flashinfer-ai/flashinfer/pull/1976
1960,2025-10-24T11:14:19Z,Bump tvm ffi to stable version 0.1.0,This PR bumps the tvm-ffi to stable version 0.1.0 and update the flashinfer code base.,https://github.com/flashinfer-ai/flashinfer/pull/1960
1950,2025-10-23T16:04:43Z,unittest: fix test_artifacts.py,"This PR fixes the test suite broken by #1761 , which introduced checksum validation for downloaded artifacts.",https://github.com/flashinfer-ai/flashinfer/pull/1950
1967,2025-10-23T06:59:16Z,misc: Update artifacts docstring and MetaInfoHash,"Amendment to PR 1761, appending docstring to two artifactory path classes and deprecating need to update MetaInfoHash by directly accessing…",https://github.com/flashinfer-ai/flashinfer/pull/1967
1831,2025-10-22T16:06:45Z,Update the routing for TRTLLMGEN to support kimi k2 and qwen,Update the routing code to align with the implementation in TRTLLM and add support for KIMI K2 and Qwen Also revised the unit test based on…,https://github.com/flashinfer-ai/flashinfer/pull/1831
1912,2025-10-21T03:23:03Z,fix: Fix trtllm-gen prefill IMA when batch_size==1,Current PR fixes the test and benchmark codes IMAs when running trtllm-gen paged & ragged prefill with batch size 1 -- the issue was descri…,https://github.com/flashinfer-ai/flashinfer/pull/1912
1948,2025-10-20T03:32:58Z,"Fix #1641: Use `/usr/local/cuda` as default `CUDA_HOME` if possible, like `torch.utils.cpp_extension.CUDA_HOME`","Fix #1641: Use /usr/local/cuda as default CUDA_HOME if possible, like torch.utils.cpp_extension.CUDA_HOME 📌 Description Before 1641, torch.…",https://github.com/flashinfer-ai/flashinfer/pull/1948
1930,2025-10-18T07:49:39Z,fix get max_q_len in page prefill plan,the plan method in BatchPrefillWithPagedKVCacheWrapper will compute max query len by using qo_indptr_host.,https://github.com/flashinfer-ai/flashinfer/pull/1930
1942,2025-10-18T03:07:32Z,Add realistic bench for persistent kernel ,Previous discussion with @yzh119 included wrong results due to not skipping the module load overhead in plan().,https://github.com/flashinfer-ai/flashinfer/pull/1942
1924,2025-10-18T02:15:26Z,MLA RoPE + quantization fused kernel: shape generalization for MHA / GQA,Generalize the existing MLA RoPE+Q fused kernels to support GQA/MHA problem shapes.,https://github.com/flashinfer-ai/flashinfer/pull/1924
1761,2025-10-14T00:25:58Z,misc: checksum check when downloading artifacts,"checks the sha256 hash when downloading cubins from artifactory, using the generated checksum.txt in each cubin directory.",https://github.com/flashinfer-ai/flashinfer/pull/1761
1829,2025-10-11T06:08:01Z,feat: trtrllm-gen global scaled FP8 GEMMs,"In low latency context, it is not uncommon to encounter memory bandwidth bound GEMMs with a tiny leading dimension M.",https://github.com/flashinfer-ai/flashinfer/pull/1829
1897,2025-10-09T20:51:14Z,"tests: Add batch size 1 cases to test_trtllm_gen_attention.py that fail, marked xfail",Trtllm-gen's attention kernels have been discovered to fail tests when batch size is 1.,https://github.com/flashinfer-ai/flashinfer/pull/1897
1891,2025-10-09T06:08:45Z,misc: Various Updates to Attention Microbenchmark Suite,Current PR brings a host of updates to the the attention microbenchmark suites in flashinfer_benchmark.py testBatchPrefillWithPagedKVCacheW…,https://github.com/flashinfer-ai/flashinfer/pull/1891
1878,2025-10-07T00:53:26Z,Tune kernel compilation parameters for https://github.com/flashinfer-ai/flashinfer/pull/1850 ,A follow up to #1850 to adjust pipeline stage / tile size values for perf improvement (benchmarking results below).,https://github.com/flashinfer-ai/flashinfer/pull/1878
1865,2025-10-05T20:47:12Z,Bugfix: fix o_strides in persistent kernel ,It will be buggy when q is non-contiguous (from torch.split),https://github.com/flashinfer-ai/flashinfer/pull/1865
1850,2025-10-03T23:14:17Z,Add head_dim=64 for blackwell cutlass fmha implementation,This PR adds support for head_dim=64 for blackwell cutlass fmha.,https://github.com/flashinfer-ai/flashinfer/pull/1850
1843,2025-10-03T23:12:18Z,feat: add warp-level persistent qk norm,"Recent models are using QK normalization right before RoPE and core self-attention (e.g., Qwen-3, Wan).",https://github.com/flashinfer-ai/flashinfer/pull/1843
1825,2025-10-03T21:04:17Z,jit: add `-lcuda` to default ldflags,This PR add -lcuda to default ldflags instead of making it optional.,https://github.com/flashinfer-ai/flashinfer/pull/1825
1851,2025-10-03T09:00:43Z,unittest: remove debug-print jit examples from unittest,"The debug print statements in test_jit_examples unittests clutter the CI output, making it difficult to identify useful information.",https://github.com/flashinfer-ai/flashinfer/pull/1851
1847,2025-10-03T01:47:27Z,Run tests individually,Tests now run individually instead as opposed to with entire directry This helps avoid IMAs to propagate to other tests Also moved unlisted…,https://github.com/flashinfer-ai/flashinfer/pull/1847
1842,2025-10-02T02:23:23Z,bugfix: Change module path in test_pod_kernels.py,The series of code refactgor for tvm-ffi (e.g.,https://github.com/flashinfer-ai/flashinfer/pull/1842
1836,2025-10-02T01:05:32Z,jit: add `get_object_paths` to JitSpec,"This commit reverts changes in #1802, and adds a new method get_object_paths to JITSpec, which returns the paths of all compiled object fil…",https://github.com/flashinfer-ai/flashinfer/pull/1836
1826,2025-10-01T07:15:45Z,Bugfix: Fix data hazard in persistent reduce,Same as in #1661,https://github.com/flashinfer-ai/flashinfer/pull/1826
1794,2025-09-30T17:34:46Z,chore: improved URL handling for CUBIN/artifacts downloads,Encountered some issues when adding some cubin's.,https://github.com/flashinfer-ai/flashinfer/pull/1794
1778,2025-09-29T21:58:19Z,refactor: Test reorganization phase 2,"This is the second phase of the test reorganization: Rather than using test lists, tests are now organized into directories, allowing to us…",https://github.com/flashinfer-ai/flashinfer/pull/1778
1802,2025-09-29T18:14:28Z,fix: missing header include in decode kernel jit binding,"This commit adds the missing include of the header decode.cuh in the JIT binding csrc/batch_decode.cu, without this fix, there will be link…",https://github.com/flashinfer-ai/flashinfer/pull/1802
1795,2025-09-29T07:00:37Z,refactor: cleanup codebase after tvm-ffi refactor,"The codegen logic for pytorch and tvm should unify after #1641 , and this PR cleans up the related codegen functions in tvm_bindings.",https://github.com/flashinfer-ai/flashinfer/pull/1795
1652,2025-09-26T21:09:15Z,fix: add _check_tensor_params to check correct sampling parameters and dtype validation in decode.py,This adds the _check_tensor_params function in sampling.py that is used in the different sampling functions to check that the parameters ma…,https://github.com/flashinfer-ai/flashinfer/pull/1652
1771,2025-09-25T22:24:24Z,Waive / disable test_mla_decode_kernel.py::test_mla_decode_kernel for not sm80 ,"test_mla_decode_kernel.py::test_mla_decode_kernel uses use_tensor_cores=false, which calls the internal sm80 MLA decode kernel, which doesn…",https://github.com/flashinfer-ai/flashinfer/pull/1771
1758,2025-09-25T05:06:46Z,"Fix sink attention accuracy regression, add sink test and cleanup.",Update trtllm-gen cubin to fix accuracy regression about sink.,https://github.com/flashinfer-ai/flashinfer/pull/1758
1755,2025-09-24T07:28:48Z,"Fix tests/test_trtllm_gen_attention.py::test_trtllm_batch_prefill, ::test_trtllm_batch_decode mismatch error",Fix failing tests intests/test_trtllm_gen_attention.py::test_trtllm_batch_prefill and tests/test_trtllm_gen_attention.py::test_trtllm_batch…,https://github.com/flashinfer-ai/flashinfer/pull/1755
1757,2025-09-24T06:00:05Z,fix: should pass global_override_indptr_cpu in fast_decode_plan param list,fix #1745,https://github.com/flashinfer-ai/flashinfer/pull/1757
1760,2025-09-24T03:05:58Z,test: minor update on trtllm-gen attn speculative-decoding test,test: minor update on trtllm-gen attn speculative-decoding test,https://github.com/flashinfer-ai/flashinfer/pull/1760
1752,2025-09-23T01:50:33Z,tests: xfail attention sink UT for sliding window + non causal case,"The unittests for attention sink fails after #1661 under sliding window + non causal setting (not usual but we should fix in the future), t…",https://github.com/flashinfer-ai/flashinfer/pull/1752
1746,2025-09-22T23:50:43Z,ci: complete the list of modules in aot.py,"There are still some modules not captured by aot.py, this PR completes them.",https://github.com/flashinfer-ai/flashinfer/pull/1746
1750,2025-09-22T08:16:45Z,hotfix: slightly bump up `atol` to `3e-3` to pass `test_cudnn_prefill` on B40,Slightly increase atol from 2e-3 to 3e-3 to pass the unit test.,https://github.com/flashinfer-ai/flashinfer/pull/1750
1745,2025-09-22T06:38:14Z,feat: port fast_decode_plan from sgl,feat: port fast_decode_plan from sgl,https://github.com/flashinfer-ai/flashinfer/pull/1745
1747,2025-09-21T22:54:49Z,doc: Super tiny fix doc math,doc: Super tiny fix doc math,https://github.com/flashinfer-ai/flashinfer/pull/1747
1736,2025-09-20T04:02:09Z,Test refactoring and fixes,Unit test fixes: Refactored test_mla_decode_kernel to run from pytest Added skip to test_mnnvl_custom_comm when world size is too large Add…,https://github.com/flashinfer-ai/flashinfer/pull/1736
